这	O
些	O
打	O
动	O
人	O
心	O
的	O
电	O
视	O
专	O
题	O
片	O
都	O
是	O
四	B-ORG
川	I-ORG
有	I-ORG
线	I-ORG
电	I-ORG
视	I-ORG
台	I-ORG
妇	O
女	O
儿	O
童	O
频	O
道	O
拍	O
摄	O
制	O
作	O
的	O
。	O

比	O
如	O
对	O
于	O
问	O
题	O
较	O
多	O
的	O
航	O
空	O
人	O
身	O
意	O
外	O
保	O
险	O
，	O
中	B-ORG
保	I-ORG
人	I-ORG
寿	I-ORG
保	I-ORG
险	I-ORG
公	I-ORG
司	I-ORG
、	O
平	B-ORG
安	I-ORG
保	I-ORG
险	I-ORG
公	I-ORG
司	I-ORG
和	O
太	B-ORG
平	I-ORG
洋	I-ORG
保	I-ORG
险	I-ORG
公	I-ORG
司	I-ORG
先	O
后	O
在	O
深	B-LOC
圳	I-LOC
、	O
大	B-LOC
连	I-LOC
、	O
厦	B-LOC
门	I-LOC
等	O
地	O
实	O
行	O
三	O
家	O
联	O
手	O
共	O
保	O
，	O
采	O
取	O
保	O
单	O
统	O
一	O
制	O
作	O
、	O
定	O
点	O
出	O
售	O
等	O
措	O
施	O
，	O
效	O
果	O
较	O
好	O
，	O
维	O
护	O
了	O
消	O
费	O
者	O
的	O
利	O
益	O
。	O

那	O
是	O
1	O
9	O
9	O
4	O
年	O
，	O
刘	B-PER
秀	I-PER
清	I-PER
在	O
强	O
手	O
如	O
林	O
的	O
深	B-LOC
圳	I-LOC
市	O
场	O
上	O
以	O
质	O
量	O
为	O
许	O
诺	O
揽	O
到	O
了	O
吉	B-LOC
信	I-LOC
大	I-LOC
厦	I-LOC
的	O
工	O
程	O
。	O

八	O
十	O
多	O
年	O
前	O
震	O
惊	O
世	O
界	O
的	O
豪	O
华	O
游	O
轮	O
泰	B-ORG
坦	I-ORG
尼	I-ORG
克	I-ORG
号	I-ORG
撞	O
冰	O
山	O
沉	O
海	O
之	O
谜	O
，	O
最	O
近	O
才	O
被	O
美	B-LOC
国	I-LOC
科	O
学	O
家	O
